billID,itemID
1,1313
2,001-01110
2,001-01152
2,1161
2,121
2,156
2,19065
2,2000791
2,318
2,606060
2,6224007206393
2,827
2,8692404224155
3,01
3,606060
4,6922783781010
4,6953332551
4,7891173023315
5,6222016404007
5,6224007206393
6,1313
7,001-00919
7,1313
8,001-0052
8,6224009339037
8,6945576215417
8,7018
9,1313
10,1313
10,6222016404038
10,6223003096816
10,6947860502074
10,8901057524421
10,932
11,6222016404007
12,001-0013
12,001-00880
12,001-01149
12,001-01152
12,1161
12,2000791
12,206
12,28.5
12,6222016404038
12,6224009339037
12,6300020
12,6908242570029
12,6923041328862
12,6927404257882
12,932
12,933
13,7891173023315
14,001-0108
14,001-01098
14,2018105100950
14,2188855533
14,6930311200261
15,5021493002123
16,1313
17,1313
17,7891173023315
17,8901057524421
18,001-01119
18,15
19,1313
20,1313
20,6300020
21,001-01092
21,001-01150
21,1818
21,2018105100950
21,6222016404021
21,818
21,8429412000095
22,001-0013
22,001-00982
22,6221190004041
22,6223003098278
22,6224007206393
22,6224007206409
23,6930616600056
24,001-01023
24,001-01099
24,001-01119
24,001-01136
24,001-01156
24,001-01159
24,001-01161
24,008
24,04
24,050
24,2799
24,300
24,318
24,5721
24,6222016404007
24,6225000221222
24,6916121212267
24,6987412365634
24,818
25,1313
26,6930616600056
26,90
27,001-01092
27,70199
28,001-01136
28,001-01159
28,0433
28,1313
28,336
28,5721
28,6987412365634
28,818
28,8886022931186
29,1313
30,001-00919
30,01
30,28.5
30,6300020
31,001-00835
31,001-00880
31,001-00887
31,001-00949
31,001-00982
31,001-01111
31,001-01136
31,001-01152
31,001-01155
31,001-01159
31,0550
31,168
31,6224007206393
31,6952210004
31,7013
31,7566
31,842
31,8809078850706
32,001-0013
32,001-0069
32,001-00919
32,1313
32,6222016404021
33,001-0118
33,008
33,6927799692848
34,001-00997
34,001-01106
34,0433
34,1024
34,6223004540615
34,6920161077533
34,6945647918377
34,6954207201200
34,6959403200231
34,6987412365634
34,6992422012201
34,8859299600086
34,8859299600130
34,90
34,9904
35,001-0119
36,001-01082
36,001-01139
36,001-01143
36,001-01155
36,001-0118
36,2018105100950
36,6988813533141
36,818
36,8814
37,001-00997
37,001-01111
37,001-01119
37,001-01122
37,001-01162
37,001-0121
37,101
37,121
37,21
37,4003359500500
37,5721
37,6000869200379
37,6932163410416
37,6947860503880
37,760
37,7891173023315
37,842
37,915801
38,001-00881
38,001-00887
38,001-01026
38,001-01156
38,001-01159
38,001-01161
38,168
38,181811888
38,5707
38,5721
38,666
38,818
39,11.4
40,001-01113
40,001-01145
40,6930311200261
41,6912545247892
41,6930311200261
42,001-01143
42,336
42,6930311200261
42,818
43,001-00880
43,001-01152
43,065
44,001-0013
44,001-01026
44,01
44,156
44,2000005
44,206
44,336
44,6300020
45,200080
46,7566
46,818
47,6928845846833
48,001-01152
48,7013
49,001-00919
49,001-01026
49,001-01027
49,001-01058
49,001-01144
49,156
49,2018105100950
49,336
49,5721
49,6987412365634
50,001-01152
50,6944128643111
50,827
51,001-00949
51,001-01069
51,001-01082
51,001-01092
51,28.5
51,4902580131272
51,50
51,8429412000095
52,001-00919
52,1313
53,001-0013
53,001-0052
53,001-01150
53,181811888
53,19.2
53,2000005
53,6300020
53,6930772600068
54,6959403200040
55,1313
56,6224007206393
57,6936996800017
58,001-01057
58,001-01119
58,5721
58,6952210004
58,818
58,8814
58,9925
59,6222016404038
60,001-01088
60,3358
61,001-00851
61,6987412365634
62,1313
63,1313
63,6300020
64,001-01092
64,2188855533
64,318
64,6000869200379
64,663
64,6987412365634
65,001-0068
65,001-00835
65,001-01103
65,001-01150
65,008
65,15
65,5201582200764
65,9925
66,6987412365634
67,206
68,4003359500500
69,6959664192658
70,6224007206393
71,6930616600056
72,206
73,842
74,001-00949
74,001-01152
74,5000869136969
75,001-01099
75,001-01145
75,001-01152
75,051
75,336
76,6624055321480
76,6922578957408
76,75.12
77,1022
77,1313
77,200015585
77,3700092257210
77,6927404257882
77,6938291880329
77,6938291880343
78,001-01152
78,046
78,2018105100950
78,8814
79,8429412000095
79,9925
80,1313
81,6936996800017
82,001-0044
82,001-00880
82,001-01082
82,001-01119
82,001-01162
82,2018105100950
82,5721
82,6699
82,6987412365634
82,6988813533141
82,6988813533158
82,8814
83,1313
84,827
85,001-00876
85,181811888
85,19065
85,2018105100950
85,2188855533
85,6930311200261
85,9925
86,1313
86,655521599987
87,001-01088
87,001-01157
87,19065
87,300
87,336
87,5707
87,6952210004
87,6987412365634
87,8814
88,6936996800017
89,1313
90,6936996800017
91,6920728206581
92,1313
93,1313
94,001-0052
94,001-01119
94,1313
94,4806507586889
94,6221190004041
94,6224007206393
94,9.5
96,7890
97,001-00919
98,6936996800017
99,6932897400196
99,6936996800017
100,8901324034752
101,001-01157
101,008
101,01
101,02
101,0550
101,2000005
101,2018105100950
101,336
101,6221190002122
101,6992422012201
101,827
102,001-0075
102,6223004540318
102,6223004541711
102,6223004541841
103,001-00880
103,001-00881
103,001-01087
103,001-01159
103,336
103,5721
103,8814
104,6923890610019
104,6936996800017
105,001-00919
105,001-01026
105,001-01150
105,001-01152
105,008
105,050
105,150
105,6223000440001
105,6223000442463
105,6223003090128
105,6223003094324
105,6699
105,8429412000095
105,932
106,001-01152
106,001-01156
106,19065
106,300
106,818
107,001-00880
107,001-00949
107,001-01143
107,250096
107,7566
107,818
108,001-01092
109,001-00880
109,001-01111
109,001-01157
109,008
109,1161
109,842
109,9925
110,634
110,6930311200261
111,6224009339013
112,001-00835
112,001-01150
112,0433
112,5000869136969
112,8429412000095
113,60
113,6992422012201
114,1313
115,018
115,6223004540615
115,6223004541711
115,6624055321404
116,001-01116
116,017
116,1022
116,156
116,6930311200261
116,6932897482000
117,6223004541841
118,8859299600130
119,001-00919
120,1313
121,2000791
122,001-01113
122,001-01136
122,001-01144
122,001-01161
122,2018105100950
122,6224007206393
122,6224007206447
122,8692404224155
122,8814
122,933
123,001-00835
123,001-01161
123,168
123,318
